Name,Description
Dark English Breakfast,"Savor a twist on tradition with locally sourced chicken sausage, organic eggs, crispy hashbrown potatto, and buttery brioche. A modern, flavorful breakfast delight."
EGG BENEDICT,"Locally sourced poached eggs, veal bacon, and hollandaise atop a warm buttery croissant. Elevate your brunch with our signature twist."
"TURKEY, EGG, CHEESE CROISSANT","Savor perfection in every bite. Delight in tender turkey, fluffy scrambled egg, and melted cheese nestled in a warm, buttery croissant."
FOUR CHEESE  SANDWICH,"Experience a symphony of flavors. Indulge in a buttery brioche sandwich with a quartet of cheeses, elevated by fragrant rosemary. "
Pesto Grilled Chicken Sandwhich,"Savor perfection. Juicy chicken breast kissed by nut-free basil pesto, embraced by sourdough and melted cheese. Aromatic bliss awaits."
AVOCADO TOAST,"Creamy avocado, poached egg, Hollandaise on brown bread. Served with mixed veggie salad. Nutrient-rich indulgence with a perfect balance."
DARK CLUB SANDWICH,"Toasted brown bread, homemade chicken sauce, smoked turkey, fried egg, cheddar. With sweet potato chips and unique dark spicy-savory sauces."
GARDEN DELIGHT SALAD,"A flavor explosion: crisp carrots, cucumbers, peppery rocket leaves, juicy pineapple dice, briny olives, and sweet cherry tomatoes. Indulge in this delightful, contrasting delight."
VEGAN CLUB SANDWICH,"Elevate your vegan experience. Healthy brown bread, three cheeses, a plant-based patty, homemade garlic cream sauce, and crispy sweet potato chips. Satisfy your cravings guilt-free."
BAKED BLUEBERRY CHEESE CAKE,"Indulge in pure delight. Creamy and rich cheesecake with a sweet, tangy finish. A graham cracker base. Decadently dense, with a burst of blueberry goodness."
Creamy Biscuit Pudding,"Creamy pudding meets layered biscuits, creating a satisfying and comforting treat. Delight in every bite."
BAKED STRAWBERRY CHEESE CAKE,"Indulge in luxury. Cream cheese, sugar, eggs, and vanilla form a smooth filling atop a graham cracker crust. Baked perfection with a melt-in-your-mouth texture."
KINDER MELT CAKE,"Moist chocolate sponge layers, milk-white chocolate filling, creamy hazelnut spread. Indulge in the essence of Kinder chocolate in every bite."
TIRAMISU,"An Italian masterpiece. Capturing heritage, inviting indulgence. Perfect to conclude a meal or savor as a standalone treat. Taste tradition."
Chocolate Brownie,Indulge in perfection. Fudgy brownies meet creamy Nutella for an irresistible combination. Satisfy your sweet tooth. (Add-on: Vanilla Ice Cream)
San Sebastain Slice Cake,A unique delight. Crustless cheesecake bursting with intense flavor. Experience a confection that's truly exceptional.
CHOCOLATE FUDGE CAKE,"Experience chocolate perfection. Moist layers, intense fillings, and rich frosting. Indulge in the ultimate chocolate delight, a treat never forgotten."
ACAI CHEESE CAKE,Elevate your taste. Rich cheesecake infused with acai puree. Deep purple hue and sweet-tart flavors create a uniquely delightful experience.
FRENCH TOAST,Brioche dipped in dark door special mix. Topped with mixed berries and maple syrup. A morning delight in every bite.
BANANA BLUEBERRY LOAF,"Savor fruity delight. Mashed bananas and blueberries create a moist, tender loaf bursting with irresistible flavor."
Date Loaf,"Moist, sweet bread with juicy dates, walnuts. Topped with vanilla ice cream. A delectable blend of flavors and textures."
PLAIN CROISSANT,A classic Crescent-shaped pastry made from buttery flaky dough.
Cheese Croissant,A french butter croissant filled and topped with cheese.
CHOCOLATE CROISSANT,a croissant filled with dark chocolate. 
CAFE LATTE,"Bold espresso topped with sweet, steamed milk. Customize with syrup or extra espresso for a personalized touch. Indulgence in every sip."
PICCOLO,"Savor the bold flavors of our piccolo, espresso-based drink that packs a punch with its perfectly pulled ans steamed milk for a smooth and satisfy finish."
ESPRESSO MACCHIATO,"Bold espresso kissed with a touch of steamed milk and foam. Embrace rich, bold flavor in every sip."
HOT SPANISH LATTE,It�s a sweet coffee with Spanish milk and a shot of espresso.
CORTADO,"Rich coffee and creamy milk, crafted from freshly brewed espresso and steamed milk topped."
FLAT WHITE,"A flat white is a coffee drink consisting of espresso with microfoam (steamed milk with small, fine bubbles and a glossy or velvety consistency)."
DARK MOCHA,A combination of dark chocolate sauce with milk and shot espresso for an unforgettable experience.
Spanish Latte,Its a sweet type of coffee with spanish milk and shot of esspreso.
SMOKEY LATTE,A combination of hazelnut flavour dark roasted espresso beans which will give you the smokey flavour and milk.
WHITE MOCHA ,A combination of white chocolate sauce with milk and a shot of espresso for an unique taste.
NITRO HIBISCUS (CARCADE),"Revitalize with vibrance. Lovely hibiscus petals shine in this chilled nitro infusion, celebrating floral notes and rich red hues."
Nitro Mandarin Ice Tea,A fresh beverage that combines the bright and zesty flavors of mandarin oranges with the smooth and creamy texture of nitro-infused.
NITRO COLD BREW ,Savor smoothness. This refreshing coffee highlights rich flavors without bitterness. Coarsely ground beans steeped in cold water for 12-24 hours. Pure refreshment awaits.
NITRO PEACH ICE TEA,Is a refreshing drink made with brewed tea and peach-flavored syrup. It is usually sweetened and served cold with ice cubes.�
ACAI BOWL,Build your own acai bowl with your choice of acai blend with different toppings.
Acai Shot,"Acai blended with mix fruits, peanut and granola."
MOCHA Frapshake ,"A mocha frappshake is a frozen coffee drink made with blended instant coffee, sugar, milk and chocolate syrup"
VANILLA Frapshake,"A vanilla frappshake is a cold drink made with  ice cream, and milk . It is blended until smooth and foamy."
PISTACHIO Frapshake,"A pistachio frappshake is a cold drink made pistachio sauce, milk, ice cream. It is blended until smooth and creamy."
CHOCOLATE Frapshake,"A luscious chocolate frappshake is prepared using a blend of milk, chocolate syrup, ice cream, and sometimes cocoa powder for added richness. "
Acai Smoothie,A delicious blend of acai pure with some homemade peanut butter and almond flakes to pop up your summer vibes.
AEROPRESS,"Brew brilliance. This piston-style marvel extracts coffee through a paper filter into your cup. Ideal for solo adventurers, travelers, and campers. Flavor on the go."
V60,Indulge in the exquisite flavors of our V60 a meticulously crafted pour - over coffee that offers a rich and aromatic experience with every sip.
ICE POUR OVER ,Indulge in the exquisite flavors of our V60 a meticulously crafted pour - over coffee that offers a rich and aromatic experience with every sip.
